"noun_condition","voice","metric","N","Mean","Median","Min","Max","IQR","Skewness","Kurtosis"
"HH","Active","ir_cr",112,0.6826,0.7292,0.0208,1,0.2734,-0.79,3.524
"HH","Active","ir_rt",112,1673.8818,1672.4,896,3009,456.3125,0.417,3.41
"HH","Active","wr_acc_score",112,0.7417,0.75,0,1,0.275,-0.458,3.3
"HH","Active","wr_rt",111,985.5434,819.5,239.5,4583.4,762.075,2.271,12.465
"HH","Passive","ir_cr",112,0.6953,0.75,-0.1406,0.9688,0.2812,-1.285,5.034
"HH","Passive","ir_rt",111,1751.3644,1736,1051.8333,2755.3333,524.1833,0.279,2.759
"HH","Passive","wr_acc_score",111,0.7523,0.8,0.25,1,0.3667,-0.496,2.316
"HH","Passive","wr_rt",110,1027.0644,867.8,236,3664,589.125,1.775,6.829
"HL","Active","ir_cr",112,0.6886,0.7344,0.0208,0.9479,0.2812,-0.782,3.217
"HL","Active","ir_rt",112,1638.486,1591.0167,784.5,2561.6667,624.2083,0.209,2.34
"HL","Active","wr_acc_score",112,0.7751,0.8167,0,1,0.3333,-1.226,5.103
"HL","Active","wr_rt",109,1006.305,887.6,270.25,3167,625.3333,1.348,5.001
"HL","Passive","ir_cr",112,0.693,0.7396,-0.0521,1,0.2917,-0.976,3.883
"HL","Passive","ir_rt",111,1789.6192,1738.2,916.8333,3834,586.8583,1.009,5.704
"HL","Passive","wr_acc_score",111,0.7197,0.75,0,1,0.2333,-0.816,3.984
"HL","Passive","wr_rt",110,1038.4747,919.45,229,3919.8,705.025,1.87,8.409
"LH","Active","ir_cr",112,0.6767,0.7031,-0.0521,0.9792,0.25,-0.794,3.744
"LH","Active","ir_rt",111,1651.1152,1629.75,868.6667,2654.6667,494.375,0.278,2.876
"LH","Active","wr_acc_score",111,0.7685,0.8,0.3333,1,0.3333,-0.491,2.265
"LH","Active","wr_rt",109,931.692,800.5,226,2822.5,476.1667,1.401,4.906
"LH","Passive","ir_cr",112,0.6811,0.7396,-0.0833,0.9583,0.2943,-1.044,3.859
"LH","Passive","ir_rt",111,1656.5383,1618.3333,896.4,2963,471.8333,0.561,3.73
"LH","Passive","wr_acc_score",111,0.7547,0.8,0,1,0.25,-1.038,4.553
"LH","Passive","wr_rt",108,899.2491,807.9,235,2423.2,544.775,1.197,4.365
"LL","Active","ir_cr",112,0.6253,0.6406,-0.1406,1,0.2943,-0.844,3.654
"LL","Active","ir_rt",110,1703.8533,1595.5,827.3333,2978,542.1167,0.695,3.603
"LL","Active","wr_acc_score",110,0.7436,0.75,0.2,1,0.3333,-0.424,2.445
"LL","Active","wr_rt",110,958.0838,871.5417,226,3981.1667,664.95,2.203,10.679
"LL","Passive","ir_cr",112,0.638,0.6354,0.1042,1,0.2734,-0.476,2.647
"LL","Passive","ir_rt",112,1782.9272,1732.8667,854,2955.5,620.5625,0.198,2.699
"LL","Passive","wr_acc_score",112,0.7173,0.75,0,1,0.2333,-0.831,3.435
"LL","Passive","wr_rt",110,954.615,828,246.5,2937,742.0833,1.323,4.919
